"id";"nom";"adresse";"ville";"pays";"url_entreprise";"stagiaire"
"1";"Accenture";"40-44 Rue Jean Mermoz";"34032";"67";"http://www.accenture.com/fr-fr/Pages/index.aspx
";""
"2";"ACTIA SODIELEC Site ";"ZAC ES-Passants II-Rue Amiral Bérenger BP 90145
";"15624";"67";"http://www.sodielec.fr
";""
"3";"WebDesign Limited";"5a Estuary Views, Shelly Park

";"38608";"161";"http://www.webdesign.co.nz/
";""
"4";"SNAO";"Aéroport de Nantes Atlantique BP 74308

";"18739";"67";"";""
"5";"Diateam";"41, rue Yves Collet
";"12966";"67";"http://www.diateam.net/ - http://www.hynesim.com/
";""
"6";"Orange Romania SA";"Bd Lascar Catargiu no 51-53, 1er arrondissement
";"38609";"182";"";""
"7";"Faurecia";"Le pont de Vère
";"26242";"67";"http://www.faurecia.fr/Pages/Default.aspx
";""
"8";"Orange Business Serv";"9 rue du Chêne Germain
";"15584";"67";"www.orange-business.com
";""
"9";"CANON RESEARCH";"Rue de la Touche Lambert
";"15584";"67";"http://www.crf.canon.fr/
";""
"10";"Conflikt Arts";"12C rue des Landelles
";"15584";"67";"http://www.confliktarts.com
";""
"11";"Niji";"38 ter rue de Rennes
";"15584";"67";"";""
"12";"Orange";"11 - rue du Chêne Germain
";"15584";"67";"";""
"13";"Cornouaille Laser";"La Boissière
";"29900";"67";"";""
"14";"Pecheur D'Images";"Zone Artisanale Mane Lenn
";"23556";"67";"http://www.plisson.com
";""
"15";"sentinelles du Web";"34 rue du Dr Couëdic
";"12993";"67";"http://www.sdw.bz/
";""
"16";"Centre de Génétique Moléculair";"Avenue de la Terrasse - Bâtiment 26
";"38000";"67";"";""
"17";"Techni-Soft";"5 rue famille Bouchard
";"23576";"67";"www.techni-soft.fr
";""
"18";"MINIEXPRESS";"Zone d'activité de la Croix Blanche
";"23580";"67";"http://www.otto-models.com/index.php?lang=fr
";""
"19";"Evernet";"90 rue de Nungesser
";"13021";"67";"http://www.evernet.fr/
";""
"20";"Linkea";"Zone de Prat Pip Nord, 90, rue Charles Nungesser, Askell Parc - batiment C - 1er étage
";"13021";"67";"www.linkea.com
";""
"21";"Mairie d'Hennebont";"13 Place Maréchal Foch, CS 80130
";"23593";"67";"";""
"22";"NKE";"ZI de Kérandré - rue Gutenberg
";"23593";"67";"www.nke-corporate.fr
";""
"23";"Yves Rocher";"Société Yves Rocher - ZI La Croix des Archers
";"23571";"67";"";""
"24";"DCNS";"Centre DCNS de Nantes-Indret
";"18822";"67";"";""
